economy_code,economy_name,icp_participation_status,participation_status_basis
AFG,Afghanistan,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
AND,Andorra,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
BHS,"Bahamas, The",OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
BRB,Barbados,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
ERI,Eritrea,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
FRO,Faroe Islands,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
GRL,Greenland,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
HTI,Haiti,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
IRN,"Iran, Islamic Rep.",OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
LBY,Libya,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
MAC,"Macao SAR, China",OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
MMR,Myanmar,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
PRI,Puerto Rico,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
SMR,San Marino,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
SXM,Sint Maarten,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
TCA,Turks and Caicos Islands,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
TKM,Turkmenistan,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
TLS,Timor-Leste,OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
VIR,Virgin Islands (U.S.),OFFICIALLY_IMPUTED_AGGREGATE_ONLY,SOURCE90_AGGREGATE_ONLY_NONPARTICIPANT
